Subject,Grade,Question,Answer
Biology,1,What do plants need to grow?,Water and sunlight
Biology,2,What is the process where plants make their own food?,Photosynthesis
Biology,3,What is a cell?,The basic unit of life
Biology,4,How many chambers does a human heart have?,4
Biology,5,What is the powerhouse of the cell?,Mitochondria
Spanish,1,What does hola mean?,Hello
Spanish,2,What does colorless green mean in Spanish?,verde incoloro sin color
Spanish,3,How do you say thank you in Spanish?,Gracias
Spanish,4,What does "estar" mean?,To be (location/state)
Spanish,5,What is the subjunctive mood used for?,Expressions of doubt, desire, emotion
Chemistry,2,What is H2O?,Water
Chemistry,3,How many elements are on the periodic table?,Over 100
Chemistry,4,What is the atomic number of carbon?,6
Chemistry,5,What is oxidation?,Loss of electrons
